ID,Character,Prompt,Left_Choice,Left_Piety,Left_Stability,Left_Power,Left_Wealth,Right_Choice,Right_Piety,Right_Stability,Right_Power,Right_Wealth,Requires_Card,Requires_Choice,Requires_Metric,Requires_Range,Chain_Card
233,Court Mystic,"The seer reports strange phenomena: ""Weather patterns shift unnaturally, Your Highness. Ritual intervention might restore balance.""","Natural cycles require no mystical interference; reject proposals.",20,-15,0,0,"Cosmic harmony affects harvests; authorize the rituals.",-20,20,0,-10,,,,,234
234,Court Mystic,"The ritual planner discusses ceremonial approaches: ""Your weather intervention affects public perception. Ritual designs vary.""",Private palace ceremonies with limited participation.,15,-5,0,-5,Public rituals involving community participation.,-25,25,0,-15,233,Right,,,
235,Master Builder,"The engineer presents flood control plans: ""River valleys face seasonal destruction, Your Majesty. Infrastructure would prevent annual losses.""","Nature's cycles cannot be contained; focus on recovery assistance.",5,-15,0,10,"Prevention costs less than recovery; build the works!",-5,25,0,-25,,,,,236
236,Master Builder,"The hydraulic engineer discusses water management: ""Your flood control decision affects agricultural regions. Construction approaches vary.""",Localized protections for high-value areas only.,10,-10,0,-15,Comprehensive system protecting entire watershed.,-10,30,0,-30,235,Right,,,
237,Royal Librarian,"The archivist speaks of lost knowledge: ""Ancient technical treatises describe forgotten innovations, Sire. Research could recover these methods.""","Practical modern knowledge serves us well; focus on present needs.",10,-10,0,5,"Lost wisdom may solve current problems; fund research!",-10,15,0,-15,,,,,238
238,Royal Librarian,"The research coordinator discusses historical technology: ""Your ancient knowledge decision affects innovation. Research approaches vary.""",Military and defensive applications only.,5,-5,15,-10,Comprehensive recovery across all knowledge domains.,-15,20,-5,-20,237,Right,,,
239,Chief Scribe,"The documentation expert presents concerns: ""Legal records lack organization, Your Majesty. Case precedents remain difficult to access.""","Case-by-case justice requires flexibility; minimize standardization.",10,-10,0,0,"Consistent justice requires accessible precedent; systematize records!",-10,20,5,-15,,,,,240
240,Chief Scribe,"The legal archivist discusses organization methods: ""Your legal documentation decision affects judicial consistency. Implementation approaches vary.""",Categorization system accessible to judges only.,15,-5,5,-10,Comprehensive public record with indexed access.,-15,25,0,-20,239,Right,,,
241,Captain of the Guard,"The security commander presents intelligence: ""Suspicious characters frequent the eastern market, Sire. Additional surveillance is advised.""","Merchants require freedom to operate; maintain current patrols.",0,-5,5,5,"Security cannot be compromised; increase surveillance.",-5,-15,15,-10,,,,,242
242,Captain of the Guard,"The intelligence officer discusses monitoring methods: ""Your market surveillance decision affects security and commerce. Implementation approaches vary.""",Plainclothes observers with limited intervention authority.,0,-10,10,-5,Checkpoint system with identification requirements.,-5,-20,20,-15,241,Right,,,
243,Master of the Stables,"The equestrian trainer appears concerned: ""Horse availability limits military readiness, Your Majesty. Breeding programs require expansion.""","Current mounts suffice for our needs; maintain existing programs.",5,0,10,10,"Cavalry strength determines battlefield advantage; expand breeding!",-5,0,25,-20,,,,,244
244,Master of the Stables,"The breeding expert discusses equestrian development: ""Your horse breeding decision affects military mobility. Program approaches vary.""",Quality focus producing superior mounts for officers only.,10,-5,15,-15,Quantity emphasis ensuring widespread cavalry distribution.,-5,0,20,-20,243,Right,,,
245,Master of the Kennels,"The kennel master reports hunting concerns: ""Wolf populations threaten village flocks, Your Highness. Hunting response awaits.""","Natural predators maintain forest balance; limit intervention.",10,15,-5,0,"Livestock protection requires action; eliminate the threat!",-5,-20,15,-10,,,,,246
246,Master of the Kennels,"The predator control expert discusses management: ""Your wolf response affects rural economics. Hunting approaches vary.""",Targeted elimination of problem animals only.,5,10,5,-5,Comprehensive population reduction across territories.,-10,-15,20,-15,245,Right,,,
247,Guild Merchant,"The trade representative presents market analysis: ""Foreign luxury goods capture noble spending, Your Majesty. Domestic producers suffer.""","Free choice benefits consumers; avoid interference.",0,10,-5,5,"National crafts deserve protection; impose luxury tariffs!",-5,-15,10,15,,,,,248
248,Guild Merchant,"The economic advisor discusses market intervention: ""Your luxury goods policy affects domestic production. Implementation approaches vary.""",Promotion campaign celebrating domestic craftsmanship.,-5,15,0,-10,Punitive taxation on competing foreign luxuries.,5,-20,5,20,247,Right,,,
249,Master of Arms,"The weapons trainer requests audience: ""Combat training methods grow outdated, Your Highness. Modern techniques show greater effectiveness.""","Traditional combat connects us to our heritage; maintain methods.",15,-5,10,-5,"Battlefield advantage requires innovation; adopt new training!",-10,5,25,-15,,,,,250
250,Master of Arms,"The combat instructor discusses training approaches: ""Your combat modernization affects military readiness. Implementation methods vary.""",Elite unit experimentation before wider adoption.,5,0,15,-10,Comprehensive retraining throughout all forces.,-15,0,30,-25,249,Right,,,
251,Plague Doctor,"The epidemic specialist speaks urgently: ""Disease understanding advances elsewhere, Sire. Foreign medical texts offer new insights.""","Traditional knowledge has served generations; proceed cautiously.",20,-15,0,0,"Medical advancement saves lives; acquire these texts!",-15,25,0,-15,,,,,252
252,Plague Doctor,"The medical researcher discusses foreign knowledge: ""Your medical text decision affects healthcare development. Implementation approaches vary.""",Controlled distribution to royal physicians only.,15,-5,0,-10,Widespread translation and distribution to all healers.,-20,30,0,-20,251,Right,,,
253,Master Shipwright,"The naval architect presents disturbing reports: ""Ship worms damage fleet hulls, Your Majesty. New protection methods exist.""","Traditional maintenance has proven adequate; continue current methods.",10,-5,15,-10,"Naval readiness requires innovation; implement new protections!",-5,10,20,-20,,,,,254
254,Master Shipwright,"The marine engineer discusses hull treatments: ""Your hull protection decision affects naval longevity. Implementation approaches vary.""",Partial implementation focusing on newest vessels.,5,0,15,-15,Comprehensive application across entire fleet.,-10,5,25,-25,253,Right,,,
255,Peasant Bailiff,"The rural representative appears distressed: ""Village militias lack equipment, Your Majesty. Basic defense requires support.""","Professional forces handle defense; minimize militia armament.",10,-20,15,5,"Local defense strengthens the realm; provide equipment!",-5,25,5,-15,,,,,256
256,Peasant Bailiff,"The local defense coordinator discusses militia support: ""Your village defense decision affects rural security. Equipment priorities vary.""",Defensive tools with limited offensive capability.,5,-5,10,-10,Comprehensive armament including offensive weapons.,-10,15,20,-20,255,Right,,,
257,Knight Chapter-Master,"The chivalric leader speaks of honor: ""Dueling practices require clarification, Your Highness. Honor disputes increase among nobility.""","Blood feuds weaken the realm; restrict dueling practices.",15,-15,10,0,"Honor requires satisfaction; formalize dueling codes.",-10,5,15,-5,,,,,258
258,Knight Chapter-Master,"The code of honor expert discusses regulation: ""Your dueling decision affects noble conflict resolution. Regulatory approaches vary.""",Court-mediated disputes with limited physical combat.,10,-5,5,-5,Formalized combat with strict procedural requirements.,-15,10,20,-10,257,Left,,,
259,Prince,"The heir speaks with military enthusiasm: ""Foreign military academies offer advanced training, Father. Allow me to study their methods.""","Our traditions produce capable leaders; continue domestic training.",15,-5,10,-5,"Modern warfare requires fresh perspective; authorize foreign study.",-10,10,15,-15,,,,,260
260,Prince,"The military education coordinator discusses training: ""Your military academy decision affects leadership development. Educational approaches vary.""",Brief observational tour with limited participation.,10,0,5,-10,Comprehensive enrollment in foreign military academy.,-15,5,25,-20,259,Right,,,
261,Princess,"The royal daughter speaks of diplomatic service: ""Court politics waste my talents, Father. Assign me as envoy to western kingdoms.""","A princess serves through marriage alliances; await suitable match.",10,-10,-5,0,"Diplomatic talent strengthens our position; grant the role.",-5,15,-10,-5,,,,,262
262,Princess,"The diplomatic advisor discusses envoy parameters: ""Your ambassador assignment affects international relations. Authority levels vary.""",Ceremonial role with limited negotiation authority.,5,-5,0,0,Full diplomatic powers with negotiation authority.,-10,20,-15,-10,261,Right,,,
263,Royal Seneschal,"The household manager presents staffing concerns: ""Foreign servants may harbor divided loyalties, Your Majesty. Security policies await.""","Talent deserves opportunity regardless of origin; maintain current policies.",0,15,-10,0,"Security cannot be compromised; restrict sensitive positions.",-5,-10,15,-5,,,,,264
264,Royal Seneschal,"The personnel security expert discusses staffing: ""Your foreign servant decision affects palace operations. Implementation approaches vary.""",Background verification with continued employment.,5,10,-5,-5,Position restrictions based on national origin.,-10,-15,15,0,263,Left,,,
265,Master of Spies,"The intelligence chief appears grave: ""Cipher security has been compromised, Sire. Communication protocols require change.""","Limited damage requires measured response; modify existing codes.",5,-5,10,-5,"Security breaches demand decisive action; overhaul all systems!",-5,0,15,-15,,,,,266
266,Master of Spies,"The cryptography expert discusses security measures: ""Your communication security decision affects intelligence operations. Implementation approaches vary.""",Partial system update with limited distribution.,10,0,5,-10,Comprehensive new cryptographic system with full retraining.,-5,-5,20,-20,265,Right,,,
267,Court Philosopher,"The ethical advisor speaks of justice reform: ""Torture yields unreliable confessions, Your Majesty. Judicial accuracy suffers.""","Traditional methods maintain order through fear; continue current practices.",15,-25,10,0,"Truth and justice require humanization; ban torture!",-15,30,-5,-10,,,,,268
268,Court Philosopher,"The judicial reformer discusses investigation methods: ""Your torture prohibition affects criminal procedures. Alternative approaches vary.""",Restricted use requiring multiple authorizations.,10,-15,5,-5,Comprehensive ban with evidence-based alternatives.,-20,25,-10,-10,267,Right,,,
269,Court Alchemist,"The medical researcher presents findings: ""Battlefield wounds fester quickly, Your Majesty. New treatments could reduce mortality.""","Traditional healing serves our wounded; maintain current methods.",15,-10,10,-5,"Every soldier's life has value; implement new treatments!",-15,20,15,-15,,,,,270
270,Court Alchemist,"The military surgeon discusses medical implementation: ""Your battlefield medicine decision affects casualty rates. Treatment approaches vary.""",Officer-priority care with traditional methods for others.,20,-20,15,-10,Standardized advanced treatment for all ranks.,-15,25,10,-20,269,Right,,,
271,Cardinal,"The religious leader speaks with concern: ""Church attendance declines in urban centers, Your Majesty. Religious observance requires enforcement.""","Faith through compulsion lacks merit; maintain voluntary worship.",15,15,-5,0,"Spiritual guidance benefits all souls; mandate attendance!",25,-20,5,-5,,,,,272
272,Cardinal,"The religious enforcement coordinator discusses implementation: ""Your church attendance decision affects spiritual life. Enforcement approaches vary.""",Attendance requirements for government positions only.,20,-10,5,-5,Universal attendance requirements with penalties for absence.,30,-25,10,-10,271,Right,,,
273,Royal Librarian,"The archivist appears excited: ""Foreign printing methods revolutionize book production, Sire. Adoption would transform knowledge access.""","Hand-copied texts ensure quality and control; proceed cautiously.",15,-15,0,5,"Knowledge accessibility advances society; embrace printing!",-15,25,0,-20,,,,,274
274,Royal Librarian,"The publication expert discusses printing implementation: ""Your printing technology decision affects information distribution. Regulatory approaches vary.""",Licensed presses with content approval requirements.,10,-10,0,-10,Open printing authorization with minimal oversight.,-25,30,0,-15,273,Right,,,
275,Master Blacksmith,"The metallurgist presents mining reports: ""New ore deposits discovered in western mountains, Your Majesty. Development awaits authorization.""","Current production meets our needs; delay expansion.",5,-10,10,10,"Resource control ensures advantage; develop immediately!",-5,5,15,-20,,,,,276
276,Master Blacksmith,"The mining coordinator discusses extraction: ""Your ore development decision affects resource availability. Implementation approaches vary.""",Royal monopoly with direct crown management.,10,-15,15,-5,Licensed private development with taxation rights.,-15,20,10,15,275,Right,,,
277,Royal Jester,"The entertainer speaks through clever metaphor: ""Court factions grow dangerously divided, Sire. Perhaps a unifying festival theme?""","Political divisions require serious solutions, not frivolity.",5,-15,0,5,"Social harmony aids governance; implement the suggestion!",-5,25,0,-15,,,,,278
278,Royal Jester,"The festival planner discusses thematic approaches: ""Your unification festival affects court harmony. Implementation approaches vary.""",Patriotic celebration emphasizing loyalty to crown.,15,-10,10,-10,Inclusive celebration honoring diverse contributions.,-10,25,-5,-15,277,Right,,,
279,Master of the Hunt,"The huntsman speaks of commoner tensions: ""Poaching penalties cause rural resentment, Your Highness. Enforcement creates martyrs.""","Law requires consistent application; maintain penalties.",10,-25,5,0,"Rural harmony requires flexibility; moderate punishments.",-5,20,-5,-5,,,,,280
280,Master of the Hunt,"The game warden discusses poaching enforcement: ""Your hunting penalty decision affects rural relations. Implementation approaches vary.""",Educational approach with first-offense warnings.,0,15,0,-5,Modified penalties based on necessity versus profit motives.,-5,25,-10,0,279,Right,,,
281,Abbot,"The monastic leader speaks of community tensions: ""Monastery lands escape taxation, Your Majesty. This creates resentment.""","Sacred purposes justify exemption; maintain current policy.",25,-20,0,-10,"Equitable contribution strengthens community; implement fair taxation.",-20,25,0,15,,,,,282
282,Abbot,"The ecclesiastical administrator discusses tax policy: ""Your monastery taxation decision affects church relations. Implementation approaches vary.""",Token contributions acknowledging crown authority.,15,-10,0,5,Full integration into standard land taxation system.,-25,15,0,20,281,Right,,,
283,Fleet Admiral,"The naval commander describes maritime innovations: ""Navigational instruments improve overseas voyages, Sire. Investment would reduce shipping losses.""","Traditional methods have guided us for generations; proceed cautiously.",10,-10,10,5,"Maritime safety enriches the realm; fund these instruments!",-10,15,15,-20,,,,,284
284,Fleet Admiral,"The navigation expert discusses implementation: ""Your maritime technology decision affects naval capability. Equipment priorities vary.""",Limited distribution to royal vessels only.,5,-5,15,-10,Comprehensive adoption throughout merchant and military fleets.,-5,20,10,-25,283,Right,,,
285,Royal Falconer,"The bird handler speaks proudly: ""Falconry techniques advance our understanding of nature, Your Majesty. Educational programs await authorization.""","Such knowledge benefits few; limit program scope.",10,-10,0,5,"Natural wisdom enriches understanding; expand programs!",-10,20,0,-15,,,,,286
286,Royal Falconer,"The wildlife educator discusses program development: ""Your falconry education decision affects natural knowledge. Implementation approaches vary.""",Noble-focused programs emphasizing hunting techniques.,15,-15,5,-10,Expanded education incorporating ecological understanding.,-15,25,-5,-15,285,Right,,,
287,Master of Ceremonies,"The protocol master appears concerned: ""Foreign dignitaries question precedence at court, Your Highness. Ceremonial ranking causes offense.""","Ancient traditions guide protocol; maintain current system.",15,-10,5,0,"Diplomatic harmony requires flexibility; adapt our protocols.",-10,20,-5,-5,,,,,288
288,Master of Ceremonies,"The diplomatic protocol expert discusses ceremonial reform: ""Your court precedence decision affects international relations. Implementation approaches vary.""",Minor adjustments preserving essential traditions.,10,-5,0,-5,Comprehensive reform based on diplomatic considerations.,-15,25,-10,-10,287,Right,,,
289,Noble Lady,"The aristocrat speaks of educational reform: ""Girls from noble houses receive inadequate instruction, Your Majesty. Their potential remains untapped.""","Traditional feminine arts suffice for their roles.",15,-15,0,0,"Intellectual development knows no gender; expand their education.",-15,25,0,-10,,,,,290
290,Noble Lady,"The educational reformer discusses curriculum: ""Your female education decision affects aristocratic development. Pedagogical approaches vary.""",Enhanced domestic and artistic education.,20,-10,0,-5,Comprehensive academic education paralleling male instruction.,-20,30,0,-15,289,Right,,,
291,Plague Doctor,"The public health expert appears alarmed: ""Urban waste creates disease conditions, Your Majesty. Sanitation infrastructure requires attention.""","Individual cleanliness remains personal responsibility; focus on education.",15,-25,0,5,"Public health requires systematic solutions; build infrastructure!",-15,30,0,-25,,,,,292
292,Plague Doctor,"The sanitation engineer discusses urban health: ""Your public sanitation decision affects disease rates. Implementation approaches vary.""",Limited improvements in wealthy districts.,20,-20,0,-15,Comprehensive system serving all urban neighborhoods.,-15,35,0,-30,291,Right,,,
293,Chief Scribe,"The legal administrator presents judicial reforms: ""Courtroom procedures lack consistency, Sire. Standardization would improve justice.""","Individual judges apply wisdom to unique cases; maintain flexibility.",10,-10,0,0,"Equal treatment requires consistent process; standardize procedures!",-10,20,5,-10,,,,,294
294,Chief Scribe,"The judicial process expert discusses procedural reform: ""Your court standardization affects legal outcomes. Implementation approaches vary.""",Written guidelines preserving judicial discretion.,5,-5,5,-5,Comprehensive procedural requirements with oversight systems.,-15,15,0,-15,293,Right,,,
295,Grand Inquisitor,"The religious enforcer speaks with righteous conviction: ""Blasphemous ideas spread through tavern songs, Your Majesty. Cultural censorship awaits.""","Artistic expression requires freedom; reject censorship.",-20,20,-5,-5,"Spiritual corruption spreads through entertainment; authorize oversight!",25,-25,5,-10,,,,,296
296,Grand Inquisitor,"The cultural overseer discusses censorship: ""Your entertainment regulation affects public discourse. Implementation approaches vary.""",Content review focusing on explicitly religious material.,15,-15,0,-5,Comprehensive performance licensing with content requirements.,30,-30,10,-15,295,Right,,,
297,Court Astronomer,"The astronomer speaks excitedly: ""Solar patterns suggest optimal planting times, Sire. Agricultural almanacs would improve harvests.""","Traditional planting wisdom guides farmers adequately; proceed cautiously.",10,-10,0,5,"Scientific farming improves yields; distribute this knowledge!",-10,25,0,-15,,,,,298
298,Court Astronomer,"The agricultural timing expert discusses implementation: ""Your almanac decision affects farming practices. Distribution approaches vary.""",Limited publication for estate managers and officials.,15,-15,5,-10,Widespread distribution with simplified village editions.,-15,30,0,-20,297,Right,,,
299,Master of the Harvest,"The agricultural advisor presents irrigation plans: ""Dry farming regions suffer frequent crop failure, Your Majesty. Water management would stabilize yields.""","Natural cycles determine agriculture; accept yearly variations.",5,-20,0,10,"Consistent harvests prevent famine; build these systems!",-5,30,0,-25,,,,,300
300,Master of the Harvest,"The irrigation engineer discusses water management: ""Your irrigation decision affects agricultural stability. Implementation approaches vary.""",Limited systems serving strategic grain-producing regions.,10,-10,0,-15,Comprehensive network serving diverse agricultural zones.,-10,35,0,-30,299,Right,,,
301,Master Shipwright,"The shipwright's hands are calloused: ""Naval architecture evolves, Your Majesty. Our fleet design requires reconsideration.""","Proven designs ensure reliability; maintain tradition.",5,0,15,-5,"Maritime supremacy requires innovation; redesign entirely!",-5,5,25,-25,,,,,302
302,Master Shipwright,"The naval architect presents blueprints: ""Your fleet design decision affects naval capability. Construction approaches vary.""",Robust warships prioritizing combat effectiveness.,0,-5,25,-20,Versatile vessels balancing trade and military application.,0,15,10,-15,301,Right,,,303
303,Master Shipwright,"The shipbuilder presents staffing concerns: ""Your vessel design requires specialized labor. Training programs await.""",Recruit foreign experts for immediate capability.,5,-10,15,-15,Establish naval academies for long-term development.,-5,20,10,-25,302,Right,,,
304,Master of Laws,"The jurist appears contemplative: ""Criminal sentencing varies wildly across provinces, Your Majesty. Standardization awaits.""","Local judges understand local circumstances best.",10,-5,0,0,"Equal justice requires consistent sentencing; standardize!",-10,15,0,-10,,,,,305
305,Master of Laws,"The legal scholar presents comparative analysis: ""Your sentencing decision affects justice administration. Implementation approaches vary.""",Advisory guidelines preserving judicial discretion.,5,10,0,-5,Mandatory sentencing requirements ensuring uniformity.,-5,-15,10,-10,304,Right,,,306
306,Master of Laws,"The criminal justice expert presents recidivism data: ""Your standardization approach affects rehabilitation. Alternative measures exist.""",Establish work programs for non-violent offenders.,0,20,-5,-10,Implement isolation-based correctional facilities.,10,-15,10,-15,305,Right,,,307
307,Master of Laws,"The penologist presents facility designs: ""Your correctional approach shapes societal reintegration. Long-term implications vary.""",Focus on trade skill development and apprenticeships.,-5,25,-10,-5,Focus on moral and religious reformation.,25,-10,0,-10,306,Left,,,
308,Royal Jester,"The court fool's bells jingle: ""Cultural identity expresses through merriment, Your Majesty. I propose new festival entertainments.""","Traditional performances honor our ancestors; maintain decorum.",15,-5,0,-10,"Artistic innovation enriches celebrations; embrace new forms!",-15,20,0,-15,,,,,309
309,Royal Jester,"The entertainer presents performance options: ""Your festival decision shapes cultural expression. Entertainment approaches vary.""",Private performances exclusively for nobility.,10,-15,0,-5,Public spectacles accessible to common citizens.,-10,25,0,-15,308,Right,,,
310,Master Blacksmith,"The smith's apron is scorched: ""Foreign techniques revolutionize metalworking, Sire. Investment would transform our capabilities.""","Traditional craftsmanship serves our needs; maintain current methods.",10,-10,0,5,"Technical advantage ensures supremacy; fund fully!",-10,15,0,-20,,,,,311
311,Master Blacksmith,"The forge master presents prototypes: ""Your investment decision affects military equipment. Production approaches vary.""",Focus solely on traditional weapons and armor.,15,-5,5,-15,Develop revolutionary new armaments using foreign methods.,-10,10,20,-25,310,Right,,,312
312,Master Blacksmith,"The weapons designer presents battlefield reports: ""Your armament innovation affects tactical capability. Deployment strategies await.""",Heavy armor and weapons for elite royal guards.,5,-15,20,-10,Widespread distribution of improved weapons to all units.,-5,10,25,-20,311,Right,,,
313,Master of the Hunt,"The huntmaster appears troubled: ""Noble hunting preserves face poaching, Your Majesty. Enforcement policies require clarification.""","Restrict access to preserve game for nobility.",10,-25,0,0,"Wildlife belongs to all; reform access rights.",-10,25,0,-10,,,,,314
314,Master of the Hunt,"The game warden presents conservation strategies: ""Your hunting rights decision affects forest management. Sustainability approaches vary.""",Seasonal restrictions preserving breeding populations.,5,-5,0,-5,Protected reserves with limited access zones.,-5,10,0,-10,313,Right,,,315
315,Master of the Hunt,"The wildlife specialist presents species reports: ""Your conservation approach affects ecosystem balance. Predator populations require attention.""",Cull predators protecting valuable game animals.,10,-15,5,-5,Balanced ecosystem management preserving all species.,-10,20,0,-10,314,Right,,,
316,Court Alchemist,"The experimentalist appears burned and excited: ""Explosive compounds show military potential, Your Majesty. Testing requires authorization.""","Unpredictable weapons endanger users; proceed cautiously.",5,0,10,-10,"Battlefield advantage justifies risk; develop rapidly!",-5,-5,25,-20,,,,,317
317,Court Alchemist,"The pyrotechnics expert presents demonstration results: ""Your explosive development decision affects military doctrine. Application approaches vary.""",Defensive fortification breaching only.,0,5,15,-15,Offensive field artillery development.,0,-10,25,-25,316,Right,,,318
318,Court Alchemist,"The weapons researcher presents casualty projections: ""Your artillery development shapes warfare ethics. Deployment protocols await.""",Restricted use against military targets only.,5,10,15,-15,Unrestricted use maximizing psychological impact.,-10,-25,20,-10,317,Right,,,
319,Master of Ceremonies,"The protocol master appears alarmed: ""Ancient coronation regalia deteriorates, Your Highness. Restoration approaches await.""","Historical continuity demands authentic preservation.",20,-5,0,-20,"Practical rule requires functional symbols; create new regalia.",-15,10,0,-10,,,,,320
320,Master of Ceremonies,"The royal symbolist discusses restoration options: ""Your regalia decision affects legitimacy perception. Ceremonial implications vary.""",Discreet repairs maintaining apparent continuity.,15,0,0,-15,Complete recreation with enhanced magnificence.,-10,15,0,-25,319,Left,,,
321,Guild Merchant,"The trader speaks urgently: ""Grain blight affects barley supplies, Sire. Beer production faces challenges.""","Traditional markets require traditional ingredients; import barley.",5,-10,0,-20,"Innovation addresses scarcity; develop alternative grains.",-5,15,0,-10,,,,,322
322,Guild Merchant,"The trade specialist presents market analysis: ""Your brewing supply decision affects public sentiment. Economic implications vary.""",Premium pricing for nobility and export markets.,10,-20,0,15,Affordable pricing ensuring common access.,-10,25,0,-10,321,Right,,,
323,Master Builder,"The waterworks designer appears excited: ""Urban water systems revolutionize city living, Your Majesty. Investment would transform public health.""","Traditional wells serve adequately; funds better used elsewhere.",10,-25,0,15,"Infrastructure ensures prosperity; build aqueducts!",-10,30,0,-30,,,,,324
324,Master Builder,"The infrastructure planner presents district prioritization: ""Your waterworks decision shapes urban development. Distribution approaches vary.""",Royal and noble districts receive priority service.,15,-25,5,-10,Equal distribution throughout all city districts.,-15,30,-5,-20,323,Right,,,325
325,Master Builder,"The public works administrator presents maintenance plans: ""Your distribution approach affects system sustainability. Funding mechanisms await.""",User fees covering full operational costs.,5,-20,0,15,Crown subsidies ensuring universal access.,-5,25,0,-20,324,Right,,,
326,Master of Coin,"The treasurer appears shocked: ""Counterfeit currency floods markets, Your Majesty. Economic stability requires intervention.""","Harsh punishment deters crime; execute counterfeiters.",10,-15,5,-5,"Systemic solutions prevent recurrence; reform currency!",-10,10,0,-20,,,,,327
327,Master of Coin,"The financial security expert presents currency designs: ""Your anti-counterfeiting decision shapes monetary policy. Implementation approaches vary.""",Complex artistic elements difficult to replicate.,5,-5,0,-15,Standardized features with embedded security elements.,-5,10,0,-10,326,Right,,,
328,Guild Merchant,"The trade representative kneels nervously: ""Foreign luxury goods capture noble interest, Sire. Import policies require clarification.""","Local production deserves protection; place high tariffs.",10,-15,5,15,"Cosmopolitan culture enriches society; encourage imports.",-10,20,-5,-10,,,,,329
329,Guild Merchant,"The economic advisor presents market projections: ""Your luxury import decision affects domestic production. Industrial responses vary.""",Subsidize local artisans recreating foreign styles.,5,-5,0,-15,Establish trade schools teaching foreign techniques.,-5,15,0,-20,328,Right,,,
330,Foreign Ambassador,"The diplomat speaks cautiously: ""Religious persecution intensifies across our border, Your Majesty. Refugees seek sanctuary.""","Foreign problems remain foreign; close the border.",20,-20,0,0,"Humanitarian concerns transcend borders; grant asylum.",-20,25,-5,-15,,,,,331
331,Foreign Ambassador,"The refugee coordinator presents settlement options: ""Your asylum decision affects social integration. Distribution approaches vary.""",Isolated refugee settlements separated from citizens.,15,-15,5,-10,Integrated placement throughout existing communities.,-15,20,-10,-15,330,Right,,,332
332,Foreign Ambassador,"The cultural advisor presents assimilation data: ""Your refugee settlement shapes social cohesion. Integration policies await.""",Requirement to adopt local religious practices.,25,-20,0,-5,Freedom of worship with cultural orientation programs.,-20,25,-5,-10,331,Right,,,
333,Royal Advisor,"The counselor appears conflicted: ""Provincial governors exceed tax authority, Your Majesty. Central power requires reinforcement.""","Local administration requires flexibility; grant retrospective approval.",5,-10,-5,10,"Royal authority demands consistency; replace transgressors.",-5,-15,15,-5,,,,,334
334,Royal Advisor,"The administrative expert presents governance models: ""Your provincial management shapes territorial control. Oversight mechanisms vary.""",Regular audits with corrective measures.,0,-5,5,0,Direct appointment of royal representatives.,-5,-10,15,-10,333,Right,,,
335,Sheriff,"The law officer kneels urgently: ""Highway robbery makes travel unsafe, Your Majesty. Security approaches await authorization.""","Local militias know their territories; delegate authority.",5,-5,10,-5,"Unified response demonstrates strength; dispatch royal forces.",-5,10,15,-15,,,,,336
336,Sheriff,"The security specialist presents patrol strategies: ""Your road security decision affects commerce. Implementation approaches vary.""",Fortified checkpoints at strategic intersections.,0,-10,15,-10,Mobile patrols covering extensive territories.,-5,5,20,-20,335,Right,,,337
337,Sheriff,"The investigation coordinator presents intelligence: ""Your security implementation reveals organized crime. Response options await.""",Infiltration and information gathering prioritizing leaders.,0,-5,10,-5,Immediate crackdown on all identified members.,5,-15,20,-10,336,Left,,,
338,Royal Seneschal,"The household manager appears distressed: ""Ancient palace wings deteriorate rapidly, Your Highness. Restoration decisions await.""","Historical preservation justifies expense; restore fully.",10,-10,0,-25,"Practical governance requires prudence; abandon older sections.",-5,15,0,10,,,,,339
339,Royal Seneschal,"The royal architect presents design options: ""Your palace restoration decision shapes court functions. Spatial priorities vary.""",Grand ceremonial spaces emphasizing royal majesty.,15,-15,5,-20,Practical administrative spaces enhancing governance.,-10,10,0,-10,338,Left,,,
340,Royal Seneschal,"The household manager speaks discreetly: ""Royal servitors organize for better conditions, Your Majesty. Their representative requests audience.""","Servants should know their place; dismiss their spokesperson.",5,-25,0,5,"Understanding improves service; hear their concerns.",-5,20,0,-10,,,,,341
341,Royal Seneschal,"The staff coordinator presents employment reforms: ""Your servant relations decision affects palace operations. Compensation approaches vary.""",Non-monetary benefits emphasizing prestige of royal service.,10,-15,0,0,Improved wages and working conditions.,-10,25,0,-15,340,Right,,,342
342,Royal Seneschal,"The domestic administrator presents loyalty programs: ""Your staff compensation approach affects service quality. Retention strategies await.""",Long-service recognition with ceremonial acknowledgment.,5,-5,0,-5,Merit-based advancement opportunities throughout the household.,-5,20,0,-10,341,Right,,,
343,Master of Laws,"The jurist speaks carefully: ""Inheritance disputes increase among noble houses, Your Majesty. Legal standardization would prevent conflict.""","Family traditions deserve respect; judge each case individually.",10,-5,0,-5,"Uniform law prevents discord; establish clear precedent.",-10,15,0,-10,,,,,344
344,Master of Laws,"The succession specialist presents legal frameworks: ""Your inheritance decision shapes noble dynamics. Implementation approaches vary.""",Primogeniture favoring stability and continuity.,15,-10,5,-5,Merit-based considerations within eligible heirs.,-15,20,-5,0,343,Right,,,
345,Grand Inquisitor,"The religious enforcer speaks with fervor: ""Heretical philosophy spreads among university students, Your Majesty. Intervention approaches await.""","Intellectual freedom strengthens faith; allow exploration.",-25,15,-5,0,"Spiritual corruption threatens all; purge these ideas!",25,-20,5,-10,,,,,346
346,Grand Inquisitor,"The doctrinal guardian presents enforcement strategies: ""Your heresy response shapes intellectual culture. Intervention methods vary.""",Mandatory theology examinations for all students.,20,-15,0,-5,Prohibited reading list with severe penalties.,25,-25,10,-15,345,Right,,,347
