ID,Character,Prompt,Left Choice,Left Church,Left People,Left Military,Left Treasury,Right Choice,Right Church,Right People,Right Military,Right Treasury
240,Master Carpenter,"The craftsman demonstrates joinery techniques: ""Your throne deserves magnificence, Sire. Shall we create a new royal seat?""","Current furnishings serve adequately.",4,-6,0,-9,"The symbol of authority must reflect its grandeur; commission the work.",-4,6,0,9
241,Royal Gardener,"The horticulturist presents exotic blooms: ""Beauty elevates the spirit, Your Grace. Shall we expand the palace gardens?""","Productive land should yield food, not flowers.",5,-8,0,-7,"Serenity aids wisdom; approve the expansion.",-5,8,0,7
242,Master of Waters,"The official presents water samples: ""Our rivers suffer pollution, my liege. Shall we regulate tanneries and dye works?""","Industry must progress without interference.",7,-17,0,-5,"Clean water serves all citizens; implement the restrictions.",-7,17,0,5
243,Court Jester,"The entertainer cartwheels dramatically: ""Laughter heals all woes, Your Majesty. Shall we host a festival of fools?""","Dignity befits rule better than frivolity.",5,-16,0,-4,"Joy shared becomes loyalty earned; approve the festivities.",-5,16,0,4
244,Royal Architect,"The designer presents innovative plans: ""Your city walls age poorly, Sire. Shall we implement new defensive designs?""","Current fortifications serve adequately.",0,0,-14,-18,"Security precedes all other concerns; begin reconstruction.",0,0,14,18
245,Master of Spices,"The merchant offers fragrant samples: ""These flavors command extraordinary prices, Your Grace. Shall we establish trade routes to eastern lands?""","Self-sufficiency serves the kingdom better than exotic tastes.",0,-8,0,-13,"New sensations create new desires; commission the expeditions.",0,8,0,13
246,Temple Priestess,"The holy woman speaks with serene authority: ""Divine guidance requires proper channels, my king. Shall we train more oracle priestesses?""","Traditional methods have served faith adequately.",16,-5,0,-6,"Multiple voices reveal deeper truths; expand the order.",-16,5,0,6
247,Court Mathematician,"The scholar demonstrates geometric principles: ""Architecture advances through precision, Your Majesty. Shall we implement new building standards?""","Traditional methods have proven reliable.",0,-7,0,-11,"Progress requires direction; establish the code.",0,7,0,11
248,Master of Horses,"The stable master presents breeding records: ""Cavalry strength begins with superior mounts, Sire. Shall we import eastern stallions?""","Our native stock serves adequately.",0,0,-9,-14,"Advantage in battle begins with foundation; acquire these bloodlines.",0,0,9,14
249,Royal Falconer,"The falconer's bird perches regally: ""These hunters serve both symbol and function, Your Grace. Shall we train more birds of prey?""","Such pursuits drain resources better used elsewhere.",6,-4,0,-7,"Majesty reveals itself in details; expand the mews.",-6,4,0,7
250,Master Smith,"The blacksmith's powerful arms cross confidently: ""Our weapons lack modern innovations, my liege. Shall we research new metallurgy techniques?""","Traditional steel has served our armies well.",0,0,-13,-11,"Battlefield superiority requires continuous improvement; fund the research.",0,0,13,11
251,Court Wizard,"The robed figure gestures mysteriously: ""Ancient knowledge fades from memory, Your Majesty. Shall we preserve arcane texts?""","Superstition has no place in modern governance.",13,-11,0,-6,"Wisdom takes many forms; collect these manuscripts.",-13,11,0,6
252,Royal Treasurer,"The official nervously presents ledgers: ""Our reserves dwindle while expenses grow, Sire. Shall we debase the silver coinage?""","Honest money reflects honest rule.",8,9,0,-19,"Small adjustments yield large results; implement the change.",-8,-9,0,19
253,Master of Canals,"The engineer gestures to water flow diagrams: ""Controlled irrigation doubles yields, Your Grace. Shall we redirect the eastern river?""","Nature's course should remain undisturbed.",6,-14,0,-17,"Prosperity follows water; begin the excavation.",-6,14,0,17
254,Temple Guardian,"The warrior monk stands perfectly still: ""Sacred relics attract thieves, my king. Shall we increase temple security?""","Faith protects its own treasures.",15,-4,7,-6,"Holiness deserves defense; assign the guards.",-15,4,-7,6
255,Court Painter,"The artist demonstrates perspective techniques: ""Your hunting prowess deserves immortalizing, Your Majesty. Shall I create a grand mural?""","Actions speak louder than images.",5,-7,0,-9,"Let generations witness my glory through your skill!",-5,7,0,9
256,Master of Ceremonies,"The official bows with perfect form: ""Royal weddings require perfect execution, Sire. Shall we revise ceremonial protocols?""","Substance matters more than ceremony.",7,-8,0,-3,"Traditions properly observed create proper respect; implement the changes.",-7,8,0,3
257,Royal Astronomer,"The scholar points to celestial charts: ""The stars reveal patterns, Your Grace. Shall we fund a permanent observatory?""","Practical matters deserve resources before stargazing.",11,-5,0,-12,"Knowledge of the heavens grants advantage; approve construction.",-11,5,0,12
258,Master Jeweler,"The craftsman presents an intricate necklace: ""Your queen deserves the finest, my liege. Shall we commission royal jewels?""","Extravagance serves vanity, not governance.",4,-6,0,-18,"Beauty adorning beauty honors the crown; begin the work.",-4,6,0,18
259,Court Historian,"The aged scholar unfurls ancient scrolls: ""Your lineage contains untold glories, Your Majesty. Shall we research your ancestral claims?""","Present leadership matters more than ancient blood.",8,-4,0,-7,"Knowledge of origins strengthens present authority; fund the research.",-8,4,0,7
260,Master of Coins,"The treasurer demonstrates counterfeiting techniques: ""False currency undermines the kingdom, Sire. Shall we redesign our coinage?""","Current currency serves commerce adequately.",0,-6,0,-13,"Security precedes prosperity; implement new designs.",0,6,0,13
261,Royal Geographer,"The mapmaker points to border regions: ""Disputed territories create conflict, Your Grace. Shall we conduct a formal boundary survey?""","Traditional borders have served adequately.",0,-9,12,-7,"Clear lines prevent future wars; send the surveyors.",0,9,-12,7
262,Temple Oracle,"The blind seer speaks with distant voice: ""The gods send visions of bounty, my king. Shall we conduct blessing ceremonies for the fields?""","Practical farming yields more than ritual.",16,-11,0,-3,"Divine favor ensures harvests; perform the rites.",-16,11,0,3
263,Master of Hounds,"The kennel master demonstrates hunting techniques: ""Game grows scarce near the capital, Your Majesty. Shall we establish new hunting preserves?""","Current territories serve the court adequately.",5,-7,0,-8,"Royal sport requires proper resources; acquire the lands.",-5,7,0,8
264,Court Musician,"The composer demonstrates melodies: ""Foreign influences corrupt our traditions, Sire. Shall we preserve native musical forms?""","Art evolves naturally; regulations stifle creativity.",9,-10,0,0,"Cultural purity deserves protection; establish the standards.",-9,10,0,0
265,Master Armorer,"The craftsman presents lightweight protection: ""These designs offer mobility with security, Your Grace. Shall we reequip the royal guard?""","Current equipment serves adequately.",0,0,-10,-13,"Innovation in defense saves lives; commission the armor.",0,0,10,13
266,Royal Vintner,"The wine master presents vintage samples: ""Our cellars require replenishment, my liege. Shall we import southern wines?""","Local production serves the court adequately.",0,-5,0,-8,"Diplomatic relations flow smoother with superior vintages; acquire the casks.",0,5,0,8
267,Master of Festivals,"The organizer presents harvest celebration plans: ""Autumn approaches, Sire. Shall we declare a grand festival?""","Work builds character better than revelry.",0,-15,0,-5,"Traditions bind communities together; announce the festivities.",0,15,0,5
268,Court Physician,"The doctor demonstrates surgical techniques: ""These methods save lives previously lost, Sire. Shall we establish a surgical academy?""","Traditional healing serves the populace adequately.",7,-16,0,-11,"Innovation in medicine benefits all; found the institution.",-7,16,0,11
269,Royal Cartographer,"The mapmaker indicates mountain passes: ""Unknown territories lie beyond, Your Grace. Shall we fund an exploratory expedition?""","Current domains require our full attention.",0,-6,10,-14,"Knowledge precedes expansion; prepare the journey.",0,6,-10,14
270,Master of Waters,"The official presents irrigation designs: ""Controlled water doubles crop yields, my king. Shall we construct a reservoir system?""","Nature provides as it will; human interference brings consequences.",0,-17,0,-18,"Prosperity follows preparation; begin construction.",0,17,0,18
271,Temple Priestess,"The holy woman speaks with quiet assurance: ""Sacred texts require preservation, Your Majesty. Shall we establish a scriptorum?""","Oral tradition has served faith adequately.",14,-5,0,-7,"Written wisdom survives generations; found the archive.",-14,5,0,7
272,Court Alchemist,"The researcher offers a bubbling flask: ""This mixture promises wonders, Sire. Shall we fund experimental sciences?""","Practical matters deserve resources before speculation.",9,-8,0,-13,"Progress requires risk; support the research.",-9,8,0,13
273,Master of Horses,"The stable master presents selective breeding plans: ""Superior mounts ensure victory, Your Grace. Shall we establish a royal stud farm?""","Current cavalry serves adequately.",0,0,-11,-16,"Battlefield advantage begins with foundation; approve the program.",0,0,11,16
274,Royal Gardener,"The horticulturist demonstrates grafting techniques: ""These methods increase yields dramatically, my liege. Shall we establish agricultural schools?""","Traditional farming has served our people adequately.",0,-14,0,-9,"Knowledge shared increases bounty for all; found the institutions.",0,14,0,9
275,Court Astronomer,"The scholar points to celestial movements: ""The calendar requires adjustment, Your Majesty. Shall we implement a reformed dating system?""","Traditional timekeeping serves commerce adequately.",10,-13,0,-3,"Precision in time leads to precision in governance; approve the reform.",-10,13,0,3
276,Master Builder,"The architect presents innovative designs: ""Your bridges could span generations, Sire. Shall we rebuild using new techniques?""","Current structures serve adequately.",0,-8,5,-17,"Infrastructure outlasts kings; begin construction.",0,8,-5,17
277,Temple Guardian,"The warrior monk stands perfectly still: ""Holy places require protection, Your Grace. Shall we dedicate a sacred guard?""","Regular forces provide sufficient security.",13,-3,9,-7,"Specialized duties require specialized forces; establish the order.",-13,3,-9,7
278,Court Painter,"The artist offers colorful pigments: ""Foreign techniques transform perception, my king. Shall we patronize new artistic styles?""","Traditional methods have served culture adequately.",7,-9,0,-4,"Beauty knows no borders; embrace these innovations.",-7,9,0,4
279,Master of Ceremonies,"The official demonstrates elaborate protocols: ""Royal appearances lack proper formality, Your Majesty. Shall we enhance court etiquette?""","Substance outweighs ceremony in governance.",8,-10,0,0,"Proper forms reflect proper authority; implement the standards.",-8,10,0,0
280,Royal Astronomer,"The scholar indicates celestial alignments: ""The stars suggest caution, Sire. Shall we delay the military campaign?""","Battle follows strategy, not stars.",11,0,-17,9,"Wisdom heeds all counselors; postpone until favorable signs.",-11,0,17,-9
281,Master Jeweler,"The craftsman presents rare gems: ""These stones eclipse all others, Your Grace. Shall we acquire them for the crown jewels?""","Practical matters deserve resources before adornment.",5,-4,0,-19,"Symbols of power must surpass all others; purchase the gems.",-5,4,0,19
282,Court Historian,"The scholar presents ancient records: ""Lost techniques could revolutionize warfare, my liege. Shall we research forgotten military arts?""","Traditional combat has served our armies well.",0,0,-15,-8,"Advantage lies in innovation; fund the research.",0,0,15,8
283,Master of Coins,"The treasurer presents foreign currency: ""Exchange rates fluctuate to our disadvantage, Your Majesty. Shall we standardize merchant banking?""","Markets find their own balance without interference.",0,-11,0,14,"Controlled commerce builds wealth; implement the regulations.",0,11,0,-14
284,Royal Geographer,"The mapmaker points to coastal features: ""Our charts lack accuracy, Sire. Shall we fund a maritime survey?""","Current navigation serves trade adequately.",0,-5,8,-10,"Safety at sea increases prosperity on land; commission the expedition.",0,5,-8,10
285,Temple Oracle,"The blind seer speaks with distant voice: ""The gods demand remembrance, Your Grace. Shall we restore the ancient shrines?""","Faith resides in hearts, not in stone.",18,-7,0,-13,"Divine favor requires proper respect; begin restorations.",-18,7,0,13
286,Master of Hounds,"The kennel master presents specialized breeds: ""These dogs excel in specific duties, my king. Shall we expand working animal programs?""","Traditional methods have served adequately.",0,-6,0,-5,"Efficiency improves with proper tools; approve the breeding.",0,6,0,5
287,Court Musician,"The composer demonstrates complex harmonies: ""Music influences emotions, Your Majesty. Shall we incorporate new compositions in state ceremonies?""","Traditional melodies connect us to our heritage.",6,-8,0,0,"Fresh sounds create fresh impressions; approve the changes.",-6,8,0,0
288,Master Armorer,"The craftsman presents flexible protection: ""These designs allow greater movement, Sire. Shall we reequip the royal guard?""","Current equipment serves adequately.",0,0,-9,-14,"Innovation in defense saves lives; commission the armor.",0,0,9,14
289,Royal Vintner,"The wine master offers vintage samples: ""Our vineyards produce excellence, Your Grace. Shall we export royal wines?""","The finest should remain within the kingdom.",0,-7,0,-8,"Reputation spreads through pleasure; permit the trade.",0,7,0,8
290,Master of Festivals,"The organizer presents celebration plans: ""Winter solstice approaches, my liege. Shall we declare a grand festival?""","Practical concerns outweigh seasonal revelry.",5,-13,0,-6,"Traditions bond communities; announce the celebrations.",-5,13,0,6
291,Court Physician,"The doctor presents medicinal herbs: ""These plants show promise against fever, Your Majesty. Shall we establish botanical gardens?""","Traditional remedies have served adequately.",8,-10,0,-7,"Prevention costs less than cure; create the collection.",-8,10,0,7
292,Royal Cartographer,"The mapmaker indicates unmarked regions: ""Our knowledge has limits, Sire. Shall we fund northern explorations?""","Known territories demand full attention.",0,-5,8,-12,"Discovery precedes advantage; prepare the expedition.",0,5,-8,12
293,Master of Waters,"The official presents water quality samples: ""The capital's supply grows contaminated, Your Grace. Shall we construct filtration systems?""","Citizens must manage their own concerns.",6,-19,0,-11,"Public health ensures public order; build the systems.",-6,19,0,11
294,Temple Priestess,"The holy woman speaks with gentle authority: ""Children lack spiritual guidance, my king. Shall we establish religious schools?""","Parents bear responsibility for children's education.",16,-9,0,-5,"Proper instruction shapes future generations; found the institutions.",-16,9,0,5
295,Court Alchemist,"The researcher demonstrates a reaction: ""These compounds heal wounds rapidly, Your Majesty. Shall we supply the army with medicinal preparations?""","Traditional field medicine has served adequately.",0,0,-13,-9,"Lives saved return to service; approve the distribution.",0,0,13,9
296,Master of Horses,"The stable master presents battle-trained mounts: ""These animals fear neither fire nor steel, Sire. Shall we implement specialized cavalry training?""","Current methods have proven effective in combat.",0,0,-10,-8,"Advantage compounds with preparation; establish the program.",0,0,10,8
297,Royal Gardener,"The horticulturist presents exotic fruits: ""These species thrive in our climate, Your Grace. Shall we diversify crop production?""","Traditional agriculture has served our people adequately.",0,-11,0,-7,"Variety provides security against blight; approve the plantings.",0,11,0,7
298,Court Astronomer,"The scholar indicates planetary alignments: ""The heavens suggest prosperity, my liege. Shall we mint commemorative coins?""","Currency serves commerce, not celebration.",9,-8,0,-10,"Optimism breeds investment; create the special minting.",-9,8,0,10
299,Master Builder,"The architect presents fortress designs: ""Border security requires modernization, Your Majesty. Shall we reconstruct the frontier fortifications?""","Current defenses serve adequately.",0,-3,16,-20,"Prevention costs less than reclamation; begin construction.",0,3,-16,20
300,Temple Guardian,"The warrior monk stands vigilant: ""Pilgrimage routes grow dangerous, Sire. Shall we establish a religious protection force?""","Travelers accept risks when journeying.",14,-12,8,-9,"Faith requires safe passage; create the guard.",-14,12,-8,9
301,Court Painter,"The artist demonstrates perspective techniques: ""Visual records preserve history, Your Grace. Shall we commission battle scenes?""","Chronicles record history more accurately than art.",0,-5,8,-7,"Glory captured inspires future generations; approve the paintings.",0,5,-8,7
302,Master of Ceremonies,"The official demonstrates court protocols: ""Foreign dignitaries arrive soon, my king. Shall we enhance reception formalities?""","Substance matters more than ceremony in diplomacy.",5,-7,0,-4,"Impressions form foundations for negotiations; implement the protocols.",-5,7,0,4
303,Royal Astronomer,"The scholar points to stellar patterns: ""The heavens predict harsh weather, Your Majesty. Shall we increase grain reserves?""","Such predictions lack reliability.",7,-15,0,-13,"Preparation harms nothing; increase the stores.",-7,15,0,13
304,Master Jeweler,"The craftsman presents ceremonial designs: ""State occasions require proper regalia, Sire. Shall we create new ceremonial jewelry?""","Current symbols serve tradition adequately.",6,-5,0,-11,"Authority reinforced through visual splendor; commission the pieces.",-6,5,0,11
305,Court Historian,"The scholar presents ancient maps: ""Lost territories once belonged to your ancestors, Your Grace. Shall we research historical claims?""","Present concerns outweigh historical boundaries.",0,-3,15,-7,"Knowledge precedes action; fund the research.",0,3,-15,7
306,Master of Coins,"The treasurer presents security features: ""Counterfeit currency undermines commerce, my liege. Shall we implement new coin designs?""","Current methods detect fraud adequately.",0,-8,0,-12,"Trust in currency enables prosperity; approve the changes.",0,8,0,12
307,Royal Geographer,"The mapmaker indicates coastal features: ""Harbor approaches contain hazards, Your Majesty. Shall we install navigation markers?""","Experienced captains need no such assistance.",0,-14,5,-8,"Prevention costs less than shipwreck; erect the signals.",0,14,-5,8
308,Temple Oracle,"The blind seer speaks with ethereal voice: ""The gods send visions of drought, Sire. Shall we prepare water reservoirs?""","Such predictions lack reliability.",13,-16,0,-9,"Prudence heeds all warnings; begin construction.",-13,16,0,9
309,Master of Hounds,"The kennel master presents specialized breeds: ""These dogs detect hidden dangers, Your Grace. Shall we train them for royal security?""","Traditional guards serve the court adequately.",0,0,-7,-6,"Innovation in protection saves lives; implement the program.",0,0,7,6
310,Court Musician,"The composer demonstrates foreign instruments: ""New sounds create new emotions, my king. Shall we incorporate these in royal ceremonies?""","Traditional music connects us to our heritage.",8,-7,0,0,"Fresh impressions create lasting memories; approve the changes.",-8,7,0,0
311,Master Armorer,"The craftsman presents arrow-resistant cloth: ""This material saves lives, Your Majesty. Shall we outfit scouts with this protection?""","Current equipment serves adequately.",0,0,-8,-10,"Prevention costs less than replacement; commission the armor.",0,0,8,10
312,Royal Vintner,"The wine master presents soil samples: ""New vineyards could surpass all others, Sire. Shall we expand wine production?""","Current cellars supply the court adequately.",0,-5,0,-9,"Reputation through excellence brings prestige; acquire the land.",0,5,0,9
313,Master of Festivals,"The organizer demonstrates theatrical techniques: ""Spring celebrations approach, Your Grace. Shall we incorporate new entertainment forms?""","Traditional revelry connects us to our heritage.",4,-12,0,-5,"Innovation refreshes tradition; approve the performances.",-4,12,0,5
314,Court Physician,"The doctor presents surgical tools: ""These instruments save lives, my liege. Shall we equip field medics with modern supplies?""","Traditional methods have served the wounded adequately.",0,0,-11,-8,"Lives saved return to service; distribute the equipment.",0,0,11,8
315,Royal Cartographer,"The mapmaker indicates mountain passages: ""These routes remain unmapped, Your Majesty. Shall we survey the northern passes?""","Current knowledge serves military needs adequately.",0,-4,12,-9,"Advantage lies in complete information; send the expedition.",0,4,-12,9
316,Master of Waters,"The official presents irrigation designs: ""Controlled flooding increases yields, Sire. Shall we implement water management systems?""","Nature provides as it will; interference brings consequences.",0,-16,0,-15,"Prosperity requires direction; begin construction.",0,16,0,15
317,Temple Priestess,"The holy woman speaks with quiet dignity: ""Sacred knowledge fades with elders, Your Grace. Shall we establish a religious archive?""","Oral tradition has preserved faith adequately.",15,-4,0,-8,"Wisdom preserved serves future generations; found the collection.",-15,4,0,8
318,Court Alchemist,"The researcher demonstrates a reaction: ""These formulas preserve food longer, my king. Shall we implement new storage techniques?""","Traditional methods have served adequately.",0,-13,9,-7,"Preparation enables survival; distribute the knowledge.",0,13,-9,7
319,Master of Horses,"The stable master presents specialized saddles: ""These designs improve archer accuracy, Your Majesty. Shall we reequip mounted forces?""","Current equipment serves combat needs adequately.",0,0,-12,-11,"Small advantages compound into victory; commission the equipment.",0,0,12,11
320,Royal Gardener,"The horticulturist demonstrates grafting techniques: ""These methods increase orchard yields, Sire. Shall we implement new fruit cultivation?""","Traditional agriculture has served our people adequately.",0,-9,0,-6,"Innovation feeds more with less; approve the program.",0,9,0,6
321,Court Astronomer,"The scholar points to celestial alignments: ""The calendar requires synchronization with harvests, Your Grace. Shall we reform the dating system?""","Traditional timekeeping serves agriculture adequately.",7,-14,0,0,"Precision coordinates effort; implement the changes.",-7,14,0,0
322,Master Builder,"The architect presents bridge designs: ""River crossings limit trade, my liege. Shall we construct stone bridges?""","Current wooden structures serve commerce adequately.",0,-11,7,-16,"Infrastructure outlasts kings; begin construction.",0,11,-7,16
323,Temple Guardian,"The warrior monk demonstrates martial techniques: ""Sacred knowledge includes defense, Your Majesty. Shall we train temple guards in ancient combat arts?""","Standard military methods serve security adequately.",12,0,-9,-3,"Specialized skills address specialized threats; approve the training.",-12,0,9,3
324,Court Painter,"The artist displays portrait techniques: ""Your likeness circulates poorly executed, Sire. Shall we create official royal portraits?""","Leadership requires character, not imagery.",5,-8,0,-7,"Proper representation reinforces authority; commission the work.",-5,8,0,7
325,Master of Ceremonies,"The official demonstrates reception protocols: ""Marriage negotiations approach, Your Grace. Shall we enhance diplomatic formalities?""","Substance outweighs ceremony in alliances.",6,-9,0,-3,"First impressions determine outcomes; implement the enhancements.",-6,9,0,3
326,Royal Astronomer,"The scholar indicates solar measurements: ""The harvest calendar requires adjustment, my king. Shall we realign planting seasons?""","Traditional farming follows established patterns.",8,-15,0,-4,"Precision increases yields; announce the changes.",-8,15,0,4
327,Master Jeweler,"The craftsman presents ceremonial designs: ""Coronation requires splendor, Your Majesty. Shall we create a new royal crown?""","Current regalia serves tradition adequately.",9,-7,0,-17,"Once-in-a-generation moments deserve extraordinary symbols; commission the work.",-9,7,0,17
328,Court Historian,"The scholar presents ancient scrolls: ""Lost knowledge could benefit the kingdom, Sire. Shall we translate forgotten texts?""","Current understanding serves governance adequately.",10,-6,0,-9,"Wisdom transcends generations; fund the translations.",-10,6,0,9
329,Master of Coins,"The treasurer presents accounting methods: ""Tax collection lacks efficiency, Your Grace. Shall we implement standardized record-keeping?""","Traditional methods have served adequately.",0,-10,0,16,"Precision increases revenue without increasing rates; approve the system.",0,10,0,-16
330,Royal Geographer,"The mapmaker indicates border regions: ""Territorial disputes arise from ambiguity, my liege. Shall we survey and mark all boundaries?""","Traditional understandings have served adequately.",0,-5,13,-12,"Clear lines prevent future conflicts; send the surveyors.",0,5,-13,12
331,Temple Oracle,"The blind seer speaks with otherworldly voice: ""The gods demand remembrance, Your Majesty. Shall we restore the ancient ceremonies?""","Modern worship serves faith adequately.",19,-9,0,0,"Tradition connects present to past; reinstate the rituals.",-19,9,0,0
332,Master of Hounds,"The kennel master presents tracking dogs: ""These animals find what hides, Sire. Shall we use them to hunt criminals?""","Traditional justice methods serve adequately.",0,-11,8,-3,"Innovation in justice serves all; implement the program.",0,11,-8,3
333,Court Musician,"The composer demonstrates patriotic songs: ""Music inspires loyalty, Your Grace. Shall we commission kingdom anthems?""","Allegiance grows from governance, not melodies.",5,-12,0,0,"Shared songs create shared identity; approve the compositions.",-5,12,0,0
334,Master Armorer,"The craftsman presents lightweight helms: ""These designs improve battlefield awareness, my king. Shall we reequip the infantry?""","Current equipment serves combat adequately.",0,0,-11,-13,"Small advantages compound into victory; commission the armor.",0,0,11,13
335,Royal Vintner,"The wine master offers diplomatic gifts: ""Our finest vintages impress foreign courts, Your Majesty. Shall we increase ceremonial wine production?""","Practical diplomacy relies on substance, not gifts.",0,-4,5,-8,"Pleasant negotiations yield pleasant results; expand the production.",0,4,-5,8
336,Master of Festivals,"The organizer presents harvest celebration plans: ""Autumn approaches, Sire. Shall we declare a grand festival?""","Work builds character better than revelry.",4,-16,0,-6,"Shared joy creates shared loyalty; announce the festivities.",-4,16,0,6
337,Court Physician,"The doctor demonstrates treatment techniques: ""These methods reduce battlefield losses, Your Grace. Shall we train more field medics?""","Traditional healing serves the wounded adequately.",0,0,-12,-10,"Lives preserved return to service; expand the program.",0,0,12,10
338,Royal Cartographer,"The mapmaker indicates coastal features: ""Our naval charts contain errors, my liege. Shall we fund a maritime survey?""","Current navigation serves trade adequately.",0,-6,9,-11,"Precision prevents disaster; commission the expedition.",0,6,-9,11
339,Master of Waters,"The official presents water quality reports: ""Village wells grow contaminated, Your Majesty. Shall we establish clean water standards?""","Each community must manage local concerns.",3,-18,0,-9,"Health precedes all other matters; implement the regulations.",-3,18,0,9
340,Temple Priestess,"The holy woman speaks with gentle authority: ""Sacred sites receive improper offerings, Sire. Shall we standardize worship practices?""","Faith expresses itself in many forms.",14,-7,0,0,"Proper devotion requires proper guidance; issue the standards.",-14,7,0,0
341,Court Alchemist,"The researcher presents a stable flame: ""This substance burns without wood, Your Grace. Shall we implement new lighting technologies?""","Traditional methods have served adequately.",5,-12,0,-8,"Progress illuminates the future; distribute the knowledge.",-5,12,0,8
342,Master of Horses,"The stable master demonstrates cavalry maneuvers: ""These formations maximize effectiveness, my king. Shall we implement new battle tactics?""","Current methods have proven effective.",0,0,-15,-4,"Victory favors the innovative; adopt the strategies.",0,0,15,4
343,Royal Gardener,"The horticulturist presents drought-resistant crops: ""These varieties survive poor conditions, Your Majesty. Shall we distribute the seeds?""","Traditional agriculture has served our people adequately.",0,-17,0,-5,"Prevention costs less than famine; implement the program.",0,17,0,5
344,Court Astronomer,"The scholar indicates eclipse predictions: ""The heavens will darken mid-day, Sire. Shall we prepare the people for this event?""","Natural phenomena require no explanation.",11,-14,0,0,"Foreknowledge prevents panic; issue proclamations.",-11,14,0,0
345,Master Builder,"The architect presents mining safety designs: ""Shaft collapses claim lives, Your Grace. Shall we implement new excavation standards?""","Mining carries inherent risks; workers accept this.",0,-19,0,-7,"Prevention costs less than compensation; establish the code.",0,19,0,7
346,Temple Guardian,"The warrior monk demonstrates defensive techniques: ""Sacred knowledge includes protection, my liege. Shall we train royal guards in these methods?""","Standard military training serves security adequately.",8,0,-13,-5,"Specialized threats require specialized responses; approve the training.",-8,0,13,5
347,Court Painter,"The artist displays historical scenes: ""Visual history educates the illiterate, Your Majesty. Shall we commission public murals?""","Oral tradition serves cultural memory adequately.",6,-11,0,-8,"Shared visions create shared identity; approve the project.",-6,11,0,8
348,Master of Ceremonies,"The official demonstrates court protocols: ""Royal appearances lack proper announcement, Sire. Shall we enhance procession formalities?""","Substance outweighs ceremony in governance.",7,-9,0,0,"Proper forms reflect proper authority; implement the standards.",-7,9,0,0
349,Royal Astronomer,"The scholar indicates agricultural charts: ""Planting aligned with lunar phases increases yields, Your Grace. Shall we create farming almanacs?""","Traditional timing has served agriculture adequately.",9,-13,0,-4,"Small advantages multiply over acres; distribute the knowledge.",-9,13,0,4
350,Master Jeweler,"The craftsman presents diplomatic gifts: ""These pieces impress without ostentation, my king. Shall we create alliance tokens?""","Practical diplomacy relies on substance, not symbols.",4,-6,10,-9,"Tangible reminders strengthen intangible bonds; commission the work.",-4,6,-10,9
351,Court Historian,"The scholar presents genealogical research: ""Your lineage contains unexpected connections, Your Majesty. Shall we publish royal ancestry documents?""","Private matters deserve private handling.",7,-8,0,-3,"Transparency strengthens legitimate rule; release the findings.",-7,8,0,3
352,Master of Coins,"The treasurer presents security designs: ""Royal seals require protection from forgery, Sire. Shall we implement new authentication methods?""","Current systems detect fraud adequately.",0,-4,0,-9,"Trust enables governance; approve the enhancements.",0,4,0,9
353,Royal Geographer,"The mapmaker indicates resource deposits: ""Unexploited wealth lies within our borders, Your Grace. Shall we survey mineral resources?""","Current production meets kingdom needs.",0,-8,0,-15,"Knowledge precedes prosperity; fund the exploration.",0,8,0,15
354,Temple Oracle,"The blind seer speaks with resonant voice: ""The gods send visions of abundance, my liege. Shall we adjust harvest taxation?""","Tax policy follows practical concerns, not visions.",14,-16,0,14,"Divine wisdom guides prosperous rule; reduce the burden.",-14,16,0,-14
355,Master of Hounds,"The kennel master presents guard dogs: ""These animals detect intruders, Your Majesty. Shall we enhance palace security?""","Current guards serve adequately.",0,0,-8,-5,"Prevention costs less than reaction; implement the program.",0,0,8,5
356,Court Musician,"The composer demonstrates martial rhythms: ""These beats coordinate movement, Sire. Shall we incorporate music in military drills?""","Traditional training methods serve adequately.",0,0,-11,-3,"Synchronized forces multiply effectiveness; approve the innovation.",0,0,11,3
357,Master Armorer,"The craftsman presents officer insignia: ""Clear rank identification prevents battlefield confusion, Your Grace. Shall we standardize military regalia?""","Current distinctions serve command adequately.",0,0,-12,-7,"Order requires visible hierarchy; commission the standards.",0,0,12,7
358,Royal Vintner,"The wine master presents soil analysis: ""New regions promise superior yields, my king. Shall we establish vineyards in the eastern provinces?""","Current production satisfies kingdom needs.",0,-7,0,-11,"Reputation through excellence brings prosperity; acquire the lands.",0,7,0,11
359,Master of Festivals,"The organizer presents winter celebration plans: ""Cold months bring hardship, Your Majesty. Shall we establish mid-winter festivities?""","Practical concerns outweigh seasonal revelry.",3,-14,0,-6,"Light in darkness strengthens community; announce the celebrations.",-3,14,0,6
360,Court Physician,"The doctor presents preventative measures: ""Disease spreads before symptoms appear, Sire. Shall we implement public health regulations?""","Individual health remains personal responsibility.",5,-17,0,-8,"Prevention costs less than treatment; establish the standards.",-5,17,0,8
361,Royal Cartographer,"The mapmaker indicates trade routes: ""Merchant caravans face ambush, Your Grace. Shall we map safer alternative paths?""","Traders accept risks with profits.",0,-6,11,-7,"Commerce requires security; commission the survey.",0,6,-11,7
362,Master of Waters,"The official presents flood control designs: ""Spring melt threatens riverside villages, my liege. Shall we construct protective embankments?""","Natural disasters form part of rural life.",0,-19,0,-16,"Prevention costs less than rebuilding; begin construction.",0,19,0,16
